Date,Open,High,Low,Close,Adj Close,Volume
2013-03-01,2351.120117,2400.870117,2303.300049,2324.360107,2324.360107,0
2013-04-01,2320.770020,2367.929932,2174.129883,2315.850098,2315.850098,0
2013-05-01,2305.219971,2458.860107,2283.739990,2346.209961,2346.209961,0
2013-06-01,2332.790039,2349.260010,2170.120117,2220.669922,2220.669922,0
2013-07-01,2255.520020,2384.389893,2215.100098,2318.610107,2318.610107,0
2013-08-01,2332.719971,2465.530029,2332.479980,2379.750000,2379.750000,0
2013-09-01,2395.370117,2725.320068,2394.689941,2630.540039,2630.540039,0
2013-10-01,2633.879883,2768.649902,2571.560059,2745.179932,2745.179932,0
2013-11-01,2748.239990,2853.340088,2741.919922,2816.360107,2816.360107,0
2013-12-01,2816.639893,2857.379883,2655.360107,2835.169922,2835.169922,0
2014-01-01,2851.379883,2915.649902,2698.280029,2718.699951,2718.699951,0
2014-02-01,2715.489990,2941.969971,2677.479980,2922.030029,2922.030029,0
2014-03-01,2860.800049,2932.129883,2740.050049,2843.439941,2843.439941,0
2014-04-01,2868.399902,2917.360107,2740.189941,2842.350098,2842.350098,0
2014-05-01,2847.709961,2975.540039,2814.149902,2954.600098,2954.600098,0
2014-06-01,2965.510010,3021.879883,2914.639893,2920.179932,2920.179932,0
2014-07-01,2923.310059,3013.830078,2868.189941,2927.479980,2927.479980,0
2014-08-01,2927.370117,2970.050049,2786.919922,2938.179932,2938.179932,0
2014-09-01,2937.290039,3014.669922,2905.389893,2939.290039,2939.290039,0
2014-10-01,2933.840088,2948.209961,2626.139893,2929.020020,2929.020020,0
2014-11-01,2928.800049,3096.850098,2882.040039,3041.409912,3041.409912,0
2014-12-01,3027.399902,3085.149902,2807.090088,2988.080078,2988.080078,0
2015-01-01,3008.550049,3339.080078,2920.840088,3260.689941,3260.689941,0
2015-02-01,3265.439941,3450.060059,3217.679932,3446.149902,3446.149902,0
2015-03-01,3454.439941,3617.570068,3395.469971,3507.469971,3507.469971,0
2015-04-01,3498.629883,3667.389893,3307.879883,3344.510010,3344.510010,0
2015-05-01,3353.219971,3484.479980,3223.209961,3375.110107,3375.110107,0
2015-06-01,3387.939941,3418.060059,3195.699951,3254.479980,3254.479980,0
2015-07-01,3273.629883,3499.070068,3099.219971,3396.800049,3396.800049,0
2015-08-01,3405.139893,3454.669922,2887.540039,3102.350098,3102.350098,0
2015-09-01,3077.560059,3196.360107,2861.479980,2966.850098,2966.850098,39933000
2015-10-01,2991.820068,3290.729980,2952.120117,3289.389893,3289.389893,0
2015-11-01,3276.000000,3476.800049,3274.239990,3468.919922,3468.919922,0
2015-12-01,3471.260010,3506.179932,3201.179932,3359.379883,3359.379883,0
2016-01-01,3356.469971,3356.469971,3010.580078,3221.330078,3221.330078,0
2016-02-01,3224.939941,3252.959961,2842.820068,3131.489990,3131.489990,0
2016-03-01,3131.489990,3259.179932,3110.659912,3179.389893,3179.389893,0
2016-04-01,3173.500000,3258.699951,3031.959961,3144.340088,3144.340088,30629800
2016-05-01,3144.340088,3256.169922,3045.040039,3248.290039,3248.290039,0
2016-06-01,3247.979980,3294.610107,2996.129883,3198.199951,3198.199951,0
2016-07-01,3199.090088,3448.620117,3112.639893,3384.229980,3384.229980,0
2016-08-01,3386.199951,3469.100098,3292.320068,3369.520020,3369.520020,0
2016-09-01,3371.750000,3501.379883,3333.679932,3489.600098,3489.600098,0
2016-10-01,3490.090088,3529.850098,3418.370117,3453.270020,3453.270020,0
2016-11-01,3454.770020,3547.979980,3265.850098,3491.100098,3491.100098,0
2016-12-01,3491.189941,3698.760010,3451.189941,3680.080078,3680.080078,0
2017-01-01,3725.500000,3773.889893,3622.139893,3623.050049,3623.050049,0
2017-02-01,3622.370117,3775.929932,3619.030029,3718.770020,3718.770020,0
2017-03-01,3724.129883,3834.510010,3711.000000,3789.139893,3789.139893,0
2017-04-01,3792.399902,4006.500000,3729.629883,3930.030029,3930.030029,35473400
2017-05-01,3930.040039,4047.590088,3886.639893,3996.959961,3996.959961,36258500
2017-06-01,3996.409912,4149.709961,3928.860107,3940.760010,3940.760010,0
2017-07-01,3940.760010,4116.609863,3851.489990,3872.949951,3872.949951,0
2017-08-01,3872.949951,3933.770020,3794.870117,3883.810059,3883.810059,0
2017-09-01,3883.810059,3979.379883,3854.050049,3976.229980,3976.229980,0
2017-10-01,3976.229980,4144.439941,3975.949951,4026.979980,4026.979980,0
2017-11-01,4026.979980,4082.610107,3883.699951,3914.399902,3914.399902,25654900
2017-12-01,3914.330078,3962.040039,3756.820068,3917.969971,3917.969971,0
2018-01-01,3919.610107,4129.430176,3905.439941,4042.010010,4042.010010,0
2018-02-01,4047.429932,4192.120117,3908.300049,4128.049805,4128.049805,26780900
2018-03-01,4125.779785,4162.939941,3931.060059,4014.399902,4014.399902,36199900
2018-04-01,4008.929932,4169.479980,3912.070068,4163.330078,4163.330078,0
2018-05-01,4165.240234,4366.080078,4105.290039,4236.370117,4236.370117,169854200
2018-06-01,4238.410156,4356.950195,4109.160156,4180.939941,4180.939941,0
2018-07-01,4173.500000,4321.180176,4120.600098,4239.009766,4239.009766,0
2018-08-01,4239.419922,4403.990234,4129.209961,4353.740234,4353.740234,0
